Ic (@Vce=1.5V) = {0.170mA, 0.3653mA, 0.7346mA, 1.391mA, 2.528mA, 
4.373mA, 7.044mA, 10.49mA, 14.56mA, 19.11mA, 23.72mA, 27.26mA,
30.26mA, 33.18mA}

H21 vs. freq
Point prm/cv                      freq                  H21_dB.m
  185  91/ 1  9.20000000000000000E+010 -5.68312047045313930E+000
  186  92/ 1  9.30000000000000000E+010 -6.21979982313692760E+000
  187  93/ 1  9.40000000000000000E+010 -6.13101938132420890E+000
  188   0/ 2  1.00000000000000000E+009  3.27637391059627280E+001
  189   1/ 2  2.00000000000000000E+009  2.64368524339435320E+001
  190   2/ 2  3.00000000000000000E+009  2.28566973528551320E+001
  191   3/ 2  4.00000000000000000E+009  2.02457624045478180E+001
  192   4/ 2  5.00000000000000000E+009  1.82409937350352610E+001
  193   5/ 2  6.00000000000000000E+009  1.66469185140980330E+001
  194   6/ 2  7.00000000000000000E+009  1.53199499030050110E+001
  195   7/ 2  8.00000000000000000E+009  1.41339668030699310E+001
  196   8/ 2  9.00000000000000000E+009  1.32255803406146750E+001
  197   9/ 2  1.00000000000000000E+010  1.21421145028028230E+001
  198  10/ 2  1.10000000000000000E+010  1.13425817949435960E+001
  199  11/ 2  1.20000000000000000E+010  1.06380744316626250E+001
  200  12/ 2  1.30000000000000000E+010  9.93161580242806610E+000
  201  13/ 2  1.40000000000000000E+010  9.25730713147377490E+000
  202  14/ 2  1.50000000000000000E+010  8.68291500364153810E+000
  203  15/ 2  1.60000000000000000E+010  7.87096450717264860E+000
  204  16/ 2  1.70000000000000000E+010  7.67838378056568870E+000
  205  17/ 2  1.80000000000000000E+010  7.06144407683519580E+000
  206  18/ 2  1.90000000000000000E+010  6.74684929308782430E+000
  207  19/ 2  2.00000000000000000E+010  6.17996809867609360E+000
  208  20/ 2  2.10000000000000000E+010  5.88197942393657950E+000
  209  21/ 2  2.20000000000000000E+010  5.53012212830461450E+000
  210  22/ 2  2.30000000000000000E+010  5.07860324513755400E+000
  211  23/ 2  2.40000000000000000E+010  4.84683117966405420E+000
  212  24/ 2  2.50000000000000000E+010  4.51892008086056850E+000
  213  25/ 2  2.60000000000000000E+010  4.10609761960569660E+000
  214  26/ 2  2.70000000000000000E+010  3.82642118854896740E+000
  215  27/ 2  2.80000000000000000E+010  3.51035473140124620E+000
  216  28/ 2  2.90000000000000000E+010  3.28883642981757960E+000
  217  29/ 2  3.00000000000000000E+010  2.95131719235120470E+000
  218  30/ 2  3.10000000000000000E+010  2.58415915275854320E+000
  219  31/ 2  3.20000000000000000E+010  2.68661484609222170E+000
  220  32/ 2  3.30000000000000000E+010  2.36560132544609920E+000
  221  33/ 2  3.40000000000000000E+010  2.04736838247609710E+000
  222  34/ 2  3.50000000000000000E+010  1.89769221553997800E+000
  223  35/ 2  3.60000000000000000E+010  1.63282108728896880E+000
  224  36/ 2  3.70000000000000000E+010  1.29811004274696100E+000
  225  37/ 2  3.80000000000000000E+010  1.06147050519290960E+000
  226  38/ 2  3.90000000000000000E+010  6.88554921465691860E-001
  227  39/ 2  4.00000000000000000E+010  1.14724469824924280E+000
  228  40/ 2  4.10000000000000000E+010  6.55224375241040270E-001
  229  41/ 2  4.20000000000000000E+010  5.72429326452138730E-001
  230  42/ 2  4.30000000000000000E+010  2.11559207617489200E-001
  231  43/ 2  4.40000000000000000E+010 -8.02423026535391550E-002
  232  44/ 2  4.50000000000000000E+010 -4.91625761092538070E-002
  233  45/ 2  4.60000000000000000E+010 -7.24412590021960680E-001
  234  46/ 2  4.70000000000000000E+010 -2.20521470134637230E+000
  235  47/ 2  4.80000000000000000E+010 -3.16891116496408110E+000
  236  48/ 2  4.90000000000000000E+010 -3.88035030478563540E+000
  237  49/ 2  5.00000000000000000E+010 -3.81568377340834090E+000
  238  50/ 2  5.10000000000000000E+010 -3.91421936584315010E+000
  239  51/ 2  5.20000000000000000E+010 -2.48574935849157570E+000
  240  52/ 2  5.30000000000000000E+010 -1.34643599358473680E+000
  241  53/ 2  5.40000000000000000E+010 -1.87545476797486720E+000
  242  54/ 2  5.50000000000000000E+010 -3.03509865647495890E+000
  243  55/ 2  5.60000000000000000E+010 -2.20586515656703910E+000
  244  56/ 2  5.70000000000000000E+010 -8.78674189031980470E-001
  245  57/ 2  5.80000000000000000E+010 -1.29303512650458140E+000
  246  58/ 2  5.90000000000000000E+010 -1.03046890807560150E+000
  247  59/ 2  6.00000000000000000E+010 -1.47511940386458250E+000
  248  60/ 2  6.10000000000000000E+010 -9.94707320988556960E-001
  249  61/ 2  6.20000000000000000E+010 -1.17623273528758430E+000
  250  62/ 2  6.30000000000000000E+010 -1.22160735190848890E+000
  251  63/ 2  6.40000000000000000E+010 -1.47164284741437500E+000
  252  64/ 2  6.50000000000000000E+010 -1.41126356775993230E+000
  253  65/ 2  6.60000000000000000E+010 -1.63098872719572040E+000
  254  66/ 2  6.70000000000000000E+010 -1.80079206643952470E+000
